DN20020 ,Modina Gen.Store 
23.82883, 90.365835
DSEA-0021 ,Sumon Store 
23.73719667, 90.42483833
DSWA-0013 ,Katabon & co 
23.55015167, 90.49570333
DN20020 ,Safe Save Dept. Store 
23.81701833, 90.35778667
DN20021 ,M/s Bebe Sokina Enterprise 
23.75757167, 90.35316167
DN10026 ,Bhuyan Gen. Store 
23.793415, 90.36674167
DN20015 ,Darut Tezara 
23.827425, 90.36585333
DN30018 ,Mayer Duaya Varieties Store 
23.79457, 90.34999667
DN10026 ,Rabbi General Store 
23.79274167, 90.367255
DN10004 ,Eva General Store 
23.79375, 90.385275
DN20022 ,Al-Musa Store 
23.83029667, 90.26262
DN20021 ,vola Nargis gen. store 
23.75781833, 90.35238
DN20020 ,Bhai Bhai General Store 
23.81889, 90.356185
DN20010 ,Seraj Fast Food 
23.89022833, 90.27194
DN10004 ,Mayerdoya General Store 
23.79329833, 90.38525667
DN30018 ,Sanjana Store 
23.79480333, 90.35217833
DSWA-0013 ,Amir G Store 
23.550165, 90.49626
DN20021 ,Ma Stectionery 
23.757815, 90.35227333
